vehicle_model,fuel_type,transmission_type,country,maximum_power(hp),maximum_torque(N/m),maximum_speed(km/h),vehicle_acceleration(0-100 km/h in seconds),vehicle_mileage(mpg),vehicle_sprung_mass(kg),steering_radius(m),axle_type(driven/dead),tyre_brand,tyre_size,tread_material,tread_pattern,tyre_camber_angle(degree),standard_tread_depth(mm),retreaded,road_condition,weather_condition,expected_tyre_life(km),kilometers_driven(km),remaining_useful_life(km),current_tread_depth(mm)
Truck,Hybrid,Automatic,Germany,162,530,141,9.63,31.7,2357,5.18,dead,Pirelli,205/55R16,Silica Compound,Asymmetric,-0.63,8.5,No,Smooth,Rainy,68481.3,53063.6,9609.8,3.21
Coupe,Electric,Automatic,Japan,261,496,259,5.35,45.32,1142,4.95,driven,Goodyear,195/65R15,Dual Compound,Symmetric,0.94,8.0,No,Smooth,Dry,56610.6,11844.9,27902.3,6.57
Hatchback,Hybrid,Automatic,Japan,386,503,262,5.51,30.73,2433,5.22,dead,Bridgestone,225/65R17,Silica Compound,Asymmetric,1.97,8.0,No,Rough,Cold,50303.0,11661.8,24084.9,6.56
Coupe,Electric,Automatic,India,89,453,225,11.93,48.05,1948,4.96,driven,Pirelli,195/65R15,Dual Compound,Symmetric,1.75,8.5,No,Rough,Cold,62848.4,3130.7,37221.8,8.16
Coupe,Diesel,Manual,Japan,83,271,216,12.88,25.69,1043,5.66,dead,Bridgestone,225/65R17,Carbon Black,Directional,1.33,7.5,No,Rough,Rainy,44906.2,8435.4,22732.1,6.57
SUV,Petrol,Automatic,Germany,430,442,275,6.83,26.1,1031,6.1,dead,Bridgestone,245/40R18,Carbon Black,Symmetric,-0.85,7.5,No,Off-road,Dry,42047.0,15928.0,16279.8,5.19
Hatchback,Diesel,Automatic,India,415,358,198,8.38,35.9,1027,6.07,driven,Bridgestone,205/55R16,Silica Compound,Asymmetric,-2.27,8.5,No,Rough,Dry,63559.9,25396.8,23786.9,5.61
Hatchback,Petrol,Automatic,USA,371,234,151,7.55,32.23,2019,5.23,dead,Continental,205/55R16,Silica Compound,Asymmetric,-1.7,8.0,No,Off-road,Humid,68520.1,28821.5,24744.0,5.3
Hatchback,Petrol,Automatic,Japan,360,438,143,4.73,40.92,1422,6.48,dead,Pirelli,225/65R17,Dual Compound,Directional,2.19,8.5,No,Rough,Cold,53273.4,25554.9,17276.8,5.26
Coupe,Petrol,Manual,India,294,488,256,10.73,29.57,1490,5.69,driven,Continental,245/40R18,Carbon Black,Symmetric,2.14,8.5,No,Off-road,Cold,44834.0,25641.0,11962.9,4.55
Truck,Diesel,Manual,Germany,177,213,234,12.25,24.22,1159,5.3,dead,Goodyear,225/65R17,Carbon Black,Directional,2.71,7.5,Yes,Rough,Cold,54910.6,10401.7,27742.2,6.29
Hatchback,Petrol,Manual,UK,180,167,264,7.05,33.79,1844,6.17,dead,Goodyear,195/65R15,Carbon Black,Symmetric,-2.54,8.0,No,Off-road,Rainy,51799.5,31802.0,12464.3,3.95
Coupe,Diesel,Manual,UK,88,310,180,13.9,37.44,2230,5.96,driven,Michelin,225/65R17,Carbon Black,Symmetric,0.22,7.5,No,Rough,Dry,51174.2,17222.9,21161.7,5.53
SUV,Hybrid,Manual,Germany,140,581,262,4.76,20.7,1017,6.0,driven,Michelin,245/40R18,Silica Compound,Asymmetric,0.89,7.5,No,Rough,Humid,58842.4,43191.0,9755.5,3.16
Truck,Electric,Manual,Germany,388,131,146,10.62,37.27,2126,4.89,dead,Michelin,195/65R15,Silica Compound,Directional,1.26,8.0,Yes,Smooth,Rainy,45242.1,25209.1,12486.5,4.68
SUV,Electric,Manual,UK,225,275,208,8.48,27.77,1671,5.44,dead,Goodyear,205/55R16,Dual Compound,Directional,0.86,8.0,Yes,Off-road,Humid,51414.4,28497.4,14284.1,4.44
Truck,Petrol,Manual,India,142,291,208,8.47,30.7,1231,6.22,dead,Bridgestone,205/55R16,Carbon Black,Asymmetric,1.62,8.0,No,Smooth,Rainy,66060.3,45283.5,12950.1,3.63
Coupe,Diesel,Manual,UK,200,596,220,8.58,26.17,1423,5.51,dead,Bridgestone,205/55R16,Silica Compound,Asymmetric,-0.84,8.5,No,Off-road,Cold,61890.0,20610.5,25729.3,6.21
Sedan,Electric,Manual,Germany,305,546,169,6.59,52.26,1903,5.87,dead,Pirelli,245/40R18,Silica Compound,Directional,-1.92,8.0,No,Smooth,Humid,41667.7,17885.1,14823.5,5.52
Truck,Diesel,Manual,Japan,184,520,212,11.16,42.33,1754,5.68,driven,Goodyear,245/40R18,Carbon Black,Asymmetric,-1.77,8.5,Yes,Rough,Dry,55417.1,32302.5,14407.2,4.6
SUV,Diesel,Manual,USA,339,415,145,11.22,25.5,1836,6.18,dead,Michelin,245/40R18,Silica Compound,Symmetric,-2.93,7.5,No,Smooth,Dry,42738.9,18016.8,15409.1,4.97
Coupe,Petrol,Manual,Japan,428,296,228,6.82,40.8,1893,5.07,driven,Goodyear,245/40R18,Dual Compound,Directional,-0.9,8.0,No,Rough,Rainy,68724.9,30531.5,23805.7,5.37
Truck,Electric,Manual,Japan,334,460,205,12.35,48.94,1238,5.65,driven,Bridgestone,245/40R18,Dual Compound,Directional,-2.45,8.5,Yes,Off-road,Cold,47339.2,12899.3,21466.2,6.64
Sedan,Petrol,Manual,Germany,286,176,149,7.17,31.07,2357,4.75,driven,Bridgestone,195/65R15,Carbon Black,Asymmetric,-1.07,8.5,No,Rough,Rainy,67978.6,19536.0,30194.0,6.9
Sedan,Petrol,Manual,UK,107,462,176,11.25,48.2,1148,5.88,driven,Continental,225/65R17,Dual Compound,Symmetric,0.77,8.5,No,Smooth,Humid,65020.3,45446.4,12200.3,3.91
Hatchback,Electric,Automatic,India,249,459,216,5.21,21.18,1622,5.96,dead,Continental,205/55R16,Silica Compound,Directional,2.37,8.5,No,Off-road,Dry,56540.9,242.1,35090.8,8.47
Hatchback,Electric,Manual,Japan,415,567,216,5.69,47.91,2431,4.59,dead,Pirelli,245/40R18,Dual Compound,Directional,2.04,7.5,No,Smooth,Dry,50089.1,4773.0,28245.3,6.98
SUV,Hybrid,Automatic,UK,155,322,171,7.16,36.61,1016,5.85,dead,Goodyear,205/55R16,Silica Compound,Symmetric,-1.48,8.0,No,Rough,Dry,65738.4,62373.2,2097.5,1.94
Truck,Hybrid,Manual,India,195,304,186,9.94,23.92,1913,5.33,driven,Continental,245/40R18,Carbon Black,Asymmetric,-2.2,8.0,No,Rough,Dry,44583.5,8337.9,22591.7,6.88
Truck,Diesel,Manual,Japan,148,240,249,10.46,31.29,1225,4.75,driven,Continental,205/55R16,Carbon Black,Asymmetric,-1.84,8.0,No,Smooth,Humid,45399.2,18982.4,16465.5,5.27
Hatchback,Electric,Automatic,India,433,345,259,7.96,54.52,1651,5.34,dead,Goodyear,225/65R17,Silica Compound,Asymmetric,2.83,8.0,No,Off-road,Dry,46741.7,39715.7,4379.3,2.77
Truck,Hybrid,Manual,UK,313,321,149,4.78,46.34,1259,4.89,driven,Bridgestone,205/55R16,Silica Compound,Asymmetric,0.3,8.0,No,Smooth,Rainy,57930.9,5.9,36104.3,7.93
Truck,Diesel,Automatic,USA,80,449,236,7.74,38.0,1673,5.33,dead,Pirelli,205/55R16,Dual Compound,Symmetric,-1.9,8.0,Yes,Rough,Dry,49429.8,45731.4,2305.2,2.1
Sedan,Diesel,Automatic,UK,246,482,144,10.89,19.61,1173,5.27,driven,Pirelli,245/40R18,Silica Compound,Symmetric,2.04,8.5,No,Off-road,Humid,69675.4,3726.8,41105.4,8.17
Hatchback,Diesel,Automatic,Germany,431,499,216,10.71,31.71,1204,5.98,driven,Pirelli,195/65R15,Carbon Black,Directional,-0.63,8.0,No,Smooth,Cold,45853.4,7834.9,23696.7,6.87
Coupe,Hybrid,Manual,India,297,573,140,5.6,25.52,1414,6.05,driven,Continental,195/65R15,Silica Compound,Directional,2.4,8.5,No,Rough,Cold,64168.3,1867.5,38831.8,8.17
Hatchback,Electric,Manual,USA,352,475,270,4.08,17.84,2176,5.71,driven,Bridgestone,205/55R16,Dual Compound,Symmetric,-1.44,7.5,No,Off-road,Dry,42875.1,22274.5,12840.3,4.41
Coupe,Petrol,Manual,India,447,335,206,11.53,36.69,2126,4.55,driven,Pirelli,195/65R15,Dual Compound,Directional,-0.64,8.5,Yes,Smooth,Cold,50603.4,47723.8,1794.9,2.11
Sedan,Diesel,Automatic,India,330,579,154,5.06,50.57,1791,6.36,driven,Goodyear,225/65R17,Silica Compound,Symmetric,0.03,7.5,No,Off-road,Humid,47312.9,39697.2,4746.8,2.43
SUV,Hybrid,Automatic,Japan,426,162,232,4.82,42.02,2088,5.87,driven,Pirelli,225/65R17,Dual Compound,Asymmetric,2.36,8.0,No,Rough,Dry,69305.1,44337.8,15562.0,3.88
Truck,Hybrid,Manual,Germany,423,494,169,4.03,24.99,2140,4.57,dead,Michelin,195/65R15,Dual Compound,Symmetric,2.21,7.5,No,Smooth,Humid,40771.9,7562.7,20699.1,6.4
Sedan,Petrol,Manual,India,253,142,242,8.33,37.94,2179,6.14,dead,Bridgestone,195/65R15,Carbon Black,Symmetric,0.45,7.5,No,Smooth,Cold,61650.1,53610.7,5010.9,2.41
Truck,Petrol,Manual,UK,249,274,221,9.03,52.73,2105,4.9,driven,Michelin,225/65R17,Silica Compound,Directional,-1.67,8.5,No,Rough,Cold,47431.7,35800.3,7249.8,3.48
SUV,Hybrid,Manual,UK,325,305,214,10.38,43.92,1517,5.66,driven,Bridgestone,195/65R15,Carbon Black,Symmetric,-0.58,8.5,No,Rough,Dry,64337.5,17168.3,29400.3,6.73
SUV,Electric,Manual,Japan,169,368,199,6.96,42.58,2090,5.43,dead,Goodyear,195/65R15,Carbon Black,Asymmetric,2.85,7.5,No,Rough,Cold,49336.7,39720.5,5993.8,2.63
